Ticker,ScanDate,ScanPrice,Score,MxV,RunUp,REL_VOL,RSI,ATRX,Gap,VWAP_dev,Volume,MarketCap,Hour,Float%,PriceToHigh,PriceTo52WHigh,ScanChange%,DayRunUp%,EntryScore,ScoreMax,ScoreMin,ScoreStd,ScanCount,Sector,Industry,MarketCapCategory,drop_max_pct,rise_max_pct,drop_d1_open,drop_d1_close,drop_d5_close,hit_tp10,hit_sl7,net_outcome,D1_Gap%,FirstScanTime,LastScanTime,PeakScoreTime
ELAB,2026-03-30,3.6,47.51,-21950.46,-11.11,100.0,36.71,2.21,142.51,-6.01,118827482.0,1940000.0,,21945.71,-26.23,-99.23,115.57,15.62,,,,,,nan,nan,nan,-2.22,288.88888888888886,9.722222222222223,66.38888888888889,6.66666666666666,False,True,SL_HIT,9.72,nan,nan,11:11
MKDW,2026-03-30,6.3,38.15,80.61,14.55,7.6,65.32,3.02,14.35,-9.13,928297.0,30160000.0,,26.16,-30.0,-82.5,30.98,39.32,,,,,,nan,nan,nan,-10.16,20.7936507936508,-3.8095238095238133,-1.9047619047619067,7.936507936507936,True,True,SL_HIT,-3.81,nan,nan,10:14
QNTM,2026-03-30,4.24,24.43,47.54,-15.94,16.45,56.36,3.21,5.87,-13.16,2233803.0,18076284.0,,53.02,-34.39,-88.9,-11.01,14.21,,,,,,nan,nan,nan,-16.51,46.46226415094339,-0.47169811320755806,13.91509433962264,-15.566037735849058,True,True,SL_HIT,-0.47,nan,nan,12:04
RBNE,2026-03-30,2.49,10.79,8.97,-4.23,4.57,51.59,0.95,5.26,-5.44,6391936.0,17484182.0,,91.03,-16.16,-97.98,0.81,3.85,,,,,,nan,nan,nan,-18.47,0.40160642570280264,-0.4016064257028205,-1.6064257028112463,-15.26104417670684,True,False,TP_HIT,-0.4,nan,nan,10:03
SGML,2026-03-30,11.91,18.28,82.34,-8.1,4.93,51.59,2.52,23.9,-6.47,19655890.0,1325469312.0,,17.65,-19.42,-29.44,13.86,5.54,,,,,,nan,nan,nan,-4.45,24.097397145256082,-2.9387069689336665,3.610411418975648,21.830394626364395,False,True,SL_HIT,-2.94,nan,nan,10:40
SST,2026-03-30,3.15,27.19,-40.76,-1.08,100.0,59.49,2.43,-4.22,-11.1,14226528.0,31793414.0,,175.99,-29.63,-79.03,-5.25,9.3,,,,,,nan,nan,nan,-11.43,84.12698412698413,28.25396825396826,-4.126984126984123,17.46031746031747,True,True,SL_HIT,28.25,nan,nan,14:32
UGRO,2026-03-30,20.76,58.6,-1405.95,12.22,100.0,63.0,2.17,5.05,-8.73,11323630.0,15610000.0,,1506.56,-28.41,-28.41,17.89,38.87,,,,,,nan,nan,nan,-11.98,33.71868978805394,1.1078998073217576,6.358381502890158,-2.986512524084783,True,True,SL_HIT,1.11,nan,nan,11:38
ARTL,2026-03-31,7.58,37.74,-572.64,-24.99,1.79,56.5,1.38,15.75,-9.94,4951508.0,5579850.0,,672.64,-28.22,-91.17,-13.17,0.0,,,,,,nan,nan,nan,-18.84,23.87862796833774,-5.0131926121372015,3.43007915567282,-3.8258575197889186,True,True,SL_HIT,-5.01,nan,nan,14:56
ASTC,2026-03-31,5.23,67.91,-147.64,24.82,2.3,86.03,3.14,-9.89,5.66,4355854.0,9199329.0,,247.64,-6.61,-34.71,12.47,0.0,,,,,,nan,nan,nan,-40.15,23.32695984703632,18.546845124282978,-14.913957934990444,-24.474187380497135,True,True,SL_HIT,18.55,nan,nan,14:58
ELAB,2026-03-31,5.96,86.97,-7070.18,52.04,13.55,52.14,2.98,10.11,11.89,38858510.0,3230000.0,,7176.6,-8.31,-98.72,67.42,38.66,,,,,,nan,nan,nan,-44.63,134.8993288590604,17.449664429530202,134.8993288590604,-42.11409395973154,True,True,SL_HIT,17.45,nan,nan,14:51
